,I try to buy British food whenever I can,British food tends to be more expensive than imported food,I usually check the label to see which country my groceries come from,I think that British food tastes better,It's important to support British farmers,I'm prepared to pay more for British food
Strongly Agree,0.17,0.11,0.14,0.12,0.12,0.09
Agree,0.42,0.31,0.33,0.27,0.27,0.29
Niether Agree or Disagree,0.31,0.46,0.27,0.48,0.48,0.38
Disagree,0.08,0.11,0.2,0.1,0.1,0.2
Strongly Disagree,0.02,0.01,0.05,0.02,0.02,0.04
